ID,Style,agreeableness,anger,anticipation,arrogance,disagreeableness,disgust,fear,gratitude,happiness,humility,love,optimism,pessimism,regret,sadness,shame,shyness,surprise,trust,neutral,Image URL,Image Path
58c6237dedc2c9c7dc0de1ae,Modern Art,0.06,0.012,0.071,0.024,0.012,0.0,0.012,0.119,0.726,0.369,0.25,0.274,0.012,0.0,0.131,0.0,0.024,0.024,0.25,0.0,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,images\in-the-luxembourg-garden-1889.jpg
577280dfedc2cb3880f28e76,Modern Art,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.2,0.0,0.0,0.5,0.0,0.0,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,images\the-marriage-of-heaven-and-hell-1984.jpg
57727f2dedc2cb3880ed5fa9,Modern Art,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,images\uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg
58d1240cedc2c94f900fc610,Modern Art,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.091,0.091,0.0,0.0,0.182,0.0,0.364,0.0,0.0,0.273,0.0,0.0,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,images\monk-for-the-play-mazeppa-1920.jpg
57727de7edc2cb3880e91f26,Post Renaissance Art,0.077,0.077,0.077,0.231,0.308,0.308,0.308,0.231,0.154,0.077,0.077,0.231,0.231,0.077,0.231,0.154,0.077,0.154,0.231,0.0,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,images\the-defence-of-sarago-a.jpg
57728297edc2cb3880f81f5b,Modern Art,0.045,0.0,0.149,0.015,0.03,0.045,0.164,0.03,0.284,0.194,0.015,0.134,0.06,0.03,0.119,0.03,0.0,0.299,0.06,0.0,https://uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,images\in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg
5772797dedc2cb3880db5504,Post Renaissance Art,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,https://uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,images\last-supper.jpg
57726e48edc2cb3880b69b14,Post Renaissance Art,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.5,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,https://uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,images\spring-1857.jpg
57728255edc2cb3880f7644a,Contemporary Art,0.083,0.083,0.333,0.0,0.0,0.083,0.0,0.083,0.0,0.083,0.0,0.0,0.083,0.0,0.0,0.083,0.0,0.5,0.0,0.083,https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,images\mirror-and-crushed-shells-1969.jpg
5772843bedc2cb3880fd334d,Contemporary Art,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.2,https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,images\one-ton-prop-house-of-cards-1969.jpg
